provincia_id;anio;monto_inversion
06;2004;644
10;2004;12
22;2004;12
26;2004;25
02;2004;545
14;2004;149
18;2004;25
30;2004;30
34;2004;5
38;2004;14
42;2004;12
46;2004;8
50;2004;72
54;2004;14
58;2004;15
62;2004;39
66;2004;27
70;2004;32
74;2004;41
78;2004;6
82;2004;146
86;2004;9
94;2004;12
90;2004;65
06;2005;858
10;2005;18
22;2005;15
26;2005;29
02;2005;678
14;2005;170
18;2005;29
30;2005;38
34;2005;6
38;2005;16
42;2005;13
46;2005;10
50;2005;84
54;2005;18
58;2005;15
62;2005;49
66;2005;33
70;2005;37
74;2005;48
78;2005;8
82;2005;176
86;2005;11
94;2005;14
90;2005;77
06;2006;1111
10;2006;27
22;2006;27
26;2006;36
02;2006;891
14;2006;240
18;2006;41
30;2006;50
34;2006;4
38;2006;22
42;2006;26
46;2006;16
50;2006;116
54;2006;27
58;2006;23
62;2006;69
66;2006;35
70;2006;43
74;2006;62
78;2006;11
82;2006;232
86;2006;15
94;2006;15
90;2006;97
06;2007;1394
10;2007;32
22;2007;21
26;2007;38
02;2007;1084
14;2007;339
18;2007;58
30;2007;65
34;2007;20
38;2007;43
42;2007;31
46;2007;27
50;2007;149
54;2007;28
58;2007;34
62;2007;69
66;2007;53
70;2007;79
74;2007;96
78;2007;13
82;2007;282
86;2007;21
94;2007;15
90;2007;134
06;2008;1751
10;2008;50
22;2008;25
26;2008;56
02;2008;1546
14;2008;368
18;2008;72
30;2008;84
34;2008;25
38;2008;52
42;2008;47
46;2008;44
50;2008;186
54;2008;67
58;2008;55
62;2008;106
66;2008;67
70;2008;106
74;2008;131
78;2008;19
82;2008;315
86;2008;42
94;2008;23
90;2008;174
06;2009;2342
10;2009;61
22;2009;55
26;2009;125
02;2009;1875
14;2009;637
18;2009;66
30;2009;98
34;2009;24
38;2009;56
42;2009;35
46;2009;33
50;2009;254
54;2009;47
58;2009;47
62;2009;408
66;2009;89
70;2009;107
74;2009;95
78;2009;25
82;2009;504
86;2009;51
94;2009;17
90;2009;235
06;2010;2998
10;2010;70
22;2010;48
26;2010;115
02;2010;2348
14;2010;854
18;2010;160
30;2010;129
34;2010;30
38;2010;66
42;2010;73
46;2010;39
50;2010;328
54;2010;55
58;2010;61
62;2010;514
66;2010;98
70;2010;134
74;2010;116
78;2010;64
82;2010;625
86;2010;60
94;2010;25
90;2010;312
06;2011;3865
10;2011;88
22;2011;70
26;2011;137
02;2011;3270
14;2011;1095
18;2011;163
30;2011;175
34;2011;37
38;2011;89
42;2011;80
46;2011;91
50;2011;370
54;2011;91
58;2011;79
62;2011;706
66;2011;118
70;2011;190
74;2011;183
78;2011;66
82;2011;867
86;2011;79
94;2011;30
90;2011;391
06;2012;5331
10;2012;108
22;2012;150
26;2012;193
02;2012;4266
14;2012;1499
18;2012;196
30;2012;194
34;2012;55
38;2012;152
42;2012;112
46;2012;124
50;2012;514
54;2012;184
58;2012;122
62;2012;1024
66;2012;158
70;2012;234
74;2012;259
78;2012;87
82;2012;1089
86;2012;100
94;2012;42
90;2012;555
06;2013;6886
10;2013;133
22;2013;165
26;2013;256
02;2013;4978
14;2013;1851
18;2013;169
30;2013;206
34;2013;62
38;2013;163
42;2013;117
46;2013;152
50;2013;576
54;2013;233
58;2013;159
62;2013;1496
66;2013;185
70;2013;346
74;2013;259
78;2013;132
82;2013;1350
86;2013;87
94;2013;66
90;2013;684
06;2014;8975
10;2014;177
22;2014;196
26;2014;342
02;2014;6190
14;2014;2881
18;2014;219
30;2014;309
34;2014;86
38;2014;205
42;2014;130
46;2014;141
50;2014;766
54;2014;315
58;2014;212
62;2014;2049
66;2014;266
70;2014;462
74;2014;297
78;2014;167
82;2014;1766
86;2014;109
94;2014;68
90;2014;868
06;2015;12596
10;2015;287
22;2015;269
26;2015;473
02;2015;9874
14;2015;3629
18;2015;365
30;2015;494
34;2015;139
38;2015;268
42;2015;200
46;2015;157
50;2015;1134
54;2015;430
58;2015;302
62;2015;1602
66;2015;490
70;2015;571
74;2015;365
78;2015;166
82;2015;1898
86;2015;149
94;2015;192
90;2015;1025
06;2016;15172
10;2016;171
22;2016;265
26;2016;673
02;2016;11330
14;2016;4699
18;2016;495
30;2016;565
34;2016;332
38;2016;454
42;2016;496
46;2016;219
50;2016;1332
54;2016;387
58;2016;371
62;2016;2526
66;2016;541
70;2016;538
74;2016;417
78;2016;212
82;2016;2936
86;2016;309
94;2016;180
90;2016;1303
06;2017;16435
10;2017;213
22;2017;294
26;2017;775
02;2017;20154
14;2017;4552
18;2017;577
30;2017;685
34;2017;205
38;2017;568
42;2017;185
46;2017;323
50;2017;1367
54;2017;474
58;2017;287
62;2017;3105
66;2017;678
70;2017;835
74;2017;759
78;2017;225
82;2017;4424
86;2017;346
94;2017;243
90;2017;1596
06;2018;24523
10;2018;237
22;2018;452
26;2018;1079
02;2018;19915
14;2018;6480
18;2018;569
30;2018;928
34;2018;230
38;2018;781
42;2018;389
46;2018;414
50;2018;1909
54;2018;537
58;2018;383
62;2018;2537
66;2018;859
70;2018;487
74;2018;1150
78;2018;289
82;2018;5128
86;2018;334
94;2018;268
90;2018;2120
06;2019;31199
10;2019;339
22;2019;698
26;2019;1214
02;2019;31328
14;2019;9471
18;2019;805
30;2019;1411
34;2019;317
38;2019;927
42;2019;678
46;2019;658
50;2019;2827
54;2019;914
58;2019;562
62;2019;4334
66;2019;1083
70;2019;728
74;2019;1700
78;2019;469
82;2019;7669
86;2019;494
94;2019;386
90;2019;2868
06;2020;47636
10;2020;414
22;2020;1018
26;2020;1743
02;2020;47738
14;2020;12884
18;2020;1101
30;2020;1561
34;2020;610
38;2020;1183
42;2020;668
46;2020;745
50;2020;3482
54;2020;1221
58;2020;984
62;2020;3957
66;2020;1199
70;2020;923
74;2020;2155
78;2020;558
82;2020;10342
86;2020;779
94;2020;500
90;2020;3872
06;2021;82046
10;2021;656
22;2021;1447
26;2021;2857
02;2021;75675
14;2021;20101
18;2021;1711
30;2021;2532
34;2021;813
38;2021;1768
42;2021;1153
46;2021;1198
50;2021;5370
54;2021;1838
58;2021;1570
62;2021;6675
66;2021;1909
70;2021;2383
74;2021;3364
78;2021;792
82;2021;18066
86;2021;1024
94;2021;763
90;2021;6292
06;2022;159414
10;2022;1674
22;2022;2865
26;2022;5144
02;2022;139786
14;2022;36100
18;2022;3084
30;2022;4973
34;2022;1460
38;2022;3416
42;2022;1854
46;2022;1728
50;2022;9678
54;2022;3351
58;2022;5038
62;2022;12329
66;2022;3400
70;2022;4087
74;2022;5227
78;2022;1548
82;2022;33989
86;2022;1614
94;2022;2049
90;2022;10377
06;2023;404400
10;2023;5878
22;2023;8314
26;2023;14577
02;2023;341696
14;2023;91011
18;2023;9342
30;2023;12869
34;2023;2932
38;2023;7516
42;2023;5442
46;2023;6002
50;2023;28146
54;2023;9386
58;2023;7877
62;2023;25773
66;2023;8196
70;2023;11122
74;2023;13563
78;2023;4204
82;2023;88646
86;2023;3680
94;2023;4855
90;2023;28149
06;2024;963634
10;2024;8426
22;2024;16702
26;2024;32573
02;2024;981905
14;2024;241094
18;2024;19755
30;2024;27822
34;2024;3545
38;2024;13306
42;2024;11216
46;2024;9076
50;2024;61425
54;2024;19718
58;2024;17228
62;2024;66222
66;2024;22608
70;2024;22365
74;2024;36830
78;2024;9593
82;2024;193100
86;2024;7847
94;2024;10807
90;2024;71507
